,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
409,КСУ БЕН-8,108.2,2023-02-10 22:00:00
411,КСУ СУТ,48.2,2023-02-10 23:00:00
412,КСУ БЕН-2,108.3,2023-02-11 04:00:00
413,БМ,3992.3,2023-02-11 06:00:00
414,АСН-3,33.6,2023-02-11 08:05:00
415,КСУ БЕН-5,105,2023-02-11 10:00:00
416,КСУ БЕН-7,106.8,2023-02-11 16:00:00
418,АСН-1-6,30.4,2023-02-11 22:00:00
420,КСУ СУТ,195.7,2023-02-11 23:00:00
421,КСУ БЕН-4,93.5,2023-02-12 04:00:00
422,БМ,4172.7,2023-02-12 06:00:00
423,АСН-2,32.6,2023-02-12 08:10:00
424,КСУ БЕН-6,105.6,2023-02-12 10:00:00
425,КСУ БЕН-8,89.7,2023-02-12 16:00:00
427,АСН-1-6,41.5,2023-02-12 22:00:00
429,КСУ СУТ,45.4,2023-02-12 23:00:00
430,КСУ БЕН-5,125.9,2023-02-13 04:00:00
431,БМ,4891.4,2023-02-13 06:00:00
432,АСН-2,52.5,2023-02-13 09:05:00
433,КСУ БЕН-7,153.8,2023-02-13 10:00:00
434,КСУ БЕН-9,95.6,2023-02-13 16:00:00
436,АСН-1-6,77.7,2023-02-13 22:00:00
438,КСУ СУТ,33.6,2023-02-13 23:00:00
439,АСН-3,37.3,2023-02-14 00:03:00
440,КСУ БЕН-5,150.8,2023-02-14 04:00:00
441,БМ,4723.4,2023-02-14 06:00:00
442,КСУ БЕН-3,115.6,2023-02-14 07:00:00
443,АСН-2,27.9,2023-02-14 08:40:00
444,КСУ БЕН-8,110.9,2023-02-14 10:00:00
445,КСУ БЕН-3,132.1,2023-02-14 16:00:00
447,АСН-1-6,72.2,2023-02-14 22:00:00
449,АСН-3,53,2023-02-14 23:15:00
450,КСУ СУТ,34.7,2023-02-14 23:00:00
451,КСУ БЕН-7,122.2,2023-02-15 04:00:00
452,АСН-2,79.3,2023-02-15 04:35:00
453,БМ,5012.2,2023-02-15 06:00:00
454,АСН-3,54,2023-02-15 07:20:00
455,КСУ БЕН-1,89.1,2023-02-15 10:00:00
456,КСУ БЕН-4,84.7,2023-02-15 16:00:00
458,АСН-1-6,46.9,2023-02-15 22:00:00
461,КСУ СУТ,34.9,2023-02-15 23:00:00
462,КСУ БЕН-1,87.3,2023-02-16 04:00:00
463,АСН-2,22.3,2023-02-16 08:20:00
464,КСУ БЕН-3,82.1,2023-02-16 10:00:00
465,КСУ БЕН-7 ,87.7,2023-02-16 16:00:00
467,АСН-1-6,39.4,2023-02-16 22:00:00
470,КСУ СУТ,47.7,2023-02-16 23:00:00
471,КСУ БЕН-5,144,2023-02-17 04:00:00
472,АСН-2,36.1,2023-02-17 08:05:00
473,КСУ БЕН-9,76.1,2023-02-17 10:00:00
474,КСУ БЕН-3,153.5,2023-02-17 16:00:00
475,АСН-3,34.8,2023-02-17 16:20:00
477,АСН-1-6,79.6,2023-02-17 22:00:00
480,КСУ СУТ,179.4,2023-02-17 23:00:00
481,АСН-3,55.4,2023-02-18 00:20:00
482,КСУ БЕН-8,85,2023-02-18 04:00:00
483,АСН-3,29.2,2023-02-18 08:10:00
484,КСУ БЕН-2,86.3,2023-02-18 10:00:00
485,КСУ БЕН-5,129.8,2023-02-18 16:00:00
487,АСН-1-6,59.1,2023-02-18 22:00:00
490,КСУ СУТ,44.5,2023-02-18 23:00:00
491,КСУ БЕН-3,185.3,2023-02-19 04:00:00
